Категорія: Усі категорії

Тиждень,Angular: (Увесь світ),React: (Увесь світ),Vue: (Увесь світ)
2020-08-23,37,53,54
2020-08-30,37,54,50
2020-09-06,37,52,49
2020-09-13,37,53,48
2020-09-20,37,53,50
2020-09-27,32,45,45
2020-10-04,33,44,45
2020-10-11,29,38,42
2020-10-18,29,38,42
2020-10-25,27,36,44
2020-11-01,28,35,33
2020-11-08,26,36,35
2020-11-15,27,36,34
2020-11-22,27,35,32
2020-11-29,29,35,35
2020-12-06,29,36,35
2020-12-13,28,36,34
2020-12-20,21,31,29
2020-12-27,19,29,29
2021-01-03,26,35,30
2021-01-10,26,42,33
2021-01-17,29,46,32
2021-01-24,28,45,31
2021-01-31,31,46,33
2021-02-07,29,43,30
2021-02-14,30,46,32
2021-02-21,31,47,35
2021-02-28,32,43,36
2021-03-07,30,42,36
2021-03-14,30,49,35
2021-03-21,30,43,36
2021-03-28,28,45,36
2021-04-04,29,42,35
2021-04-11,28,42,35
2021-04-18,29,45,38
2021-04-25,29,43,38
2021-05-02,29,40,38
2021-05-09,29,43,43
2021-05-16,33,46,58
2021-05-23,31,47,57
2021-05-30,29,46,58
2021-06-06,30,46,53
2021-06-13,31,46,53
2021-06-20,31,47,54
2021-06-27,29,45,52
2021-07-04,29,46,56
2021-07-11,31,48,51
2021-07-18,29,48,53
2021-07-25,29,46,61
2021-08-01,29,47,66
2021-08-08,28,45,55
2021-08-15,28,48,61
2021-08-22,26,44,54
2021-08-29,30,45,53
2021-09-05,27,47,50
2021-09-12,31,49,53
2021-09-19,32,46,51
2021-09-26,31,47,63
2021-10-03,33,47,63
2021-10-10,29,49,67
2021-10-17,32,51,68
2021-10-24,31,50,69
2021-10-31,27,46,57
2021-11-07,32,50,58
2021-11-14,32,53,55
2021-11-21,31,49,50
2021-11-28,32,51,54
2021-12-05,31,51,51
2021-12-12,31,52,68
2021-12-19,28,49,56
2021-12-26,24,42,61
2022-01-02,36,66,56
2022-01-09,38,71,52
2022-01-16,37,68,49
2022-01-23,38,80,57
2022-01-30,39,70,58
2022-02-06,42,80,63
2022-02-13,46,92,70
2022-02-20,42,83,63
2022-02-27,43,85,65
2022-03-06,43,85,60
2022-03-13,43,86,58
2022-03-20,45,87,57
2022-03-27,47,100,61
2022-04-03,45,96,60
2022-04-10,38,91,64
2022-04-17,44,98,59
2022-04-24,40,98,59
2022-05-01,38,87,68
2022-05-08,44,98,60
2022-05-15,41,90,56
2022-05-22,42,89,58
2022-05-29,39,85,64
2022-06-05,41,86,60
2022-06-12,40,87,58
2022-06-19,43,94,58
2022-06-26,40,90,63
2022-07-03,41,90,66
2022-07-10,41,93,62
2022-07-17,41,92,57
2022-07-24,41,93,63
2022-07-31,42,87,58
2022-08-07,39,88,56
2022-08-14,37,88,57
2022-08-21,42,95,59
2022-08-28,37,85,61
2022-09-04,38,83,53
2022-09-11,40,88,52
2022-09-18,41,91,54
2022-09-25,39,91,54
2022-10-02,36,86,53
2022-10-09,40,92,54
2022-10-16,40,92,59
2022-10-23,36,87,62
2022-10-30,36,86,52
2022-11-06,38,92,55
2022-11-13,41,93,55
2022-11-20,38,83,49
2022-11-27,38,88,48
2022-12-04,36,89,49
2022-12-11,38,94,50
2022-12-18,35,84,52
2022-12-25,29,74,60
2023-01-01,34,81,54
2023-01-08,37,91,58
2023-01-15,38,91,54
2023-01-22,37,92,56
