date,React,Angular,Vue,Svelte,Next.js
2009-01-01,0,0,0,0,0
2009-02-01,0,0,0,0,0
2009-03-01,0,0,0,0,0
2009-04-01,0,0,0,0,0
2009-05-01,0,0,0,0,0
2009-06-01,0,0,0,0,0
2009-07-01,0,0,10,0,0
2009-08-01,0,0,0,0,0
2009-09-01,0,0,0,0,0
2009-10-01,0,0,0,0,0
2009-11-01,0,0,0,0,0
2009-12-01,0,0,0,0,0
2010-01-01,0,0,0,0,0
2010-02-01,0,0,0,0,0
2010-03-01,0,0,0,0,0
2010-04-01,0,0,0,0,0
2010-05-01,0,0,0,0,0
2010-06-01,0,0,0,0,0
2010-07-01,0,0,0,0,0
2010-08-01,0,0,0,0,0
2010-09-01,0,0,0,0,0
2010-10-01,0,0,0,0,0
2010-11-01,0,0,0,0,0
2010-12-01,0,0,0,0,0
2011-01-01,0,0,0,0,0
2011-02-01,0,0,0,0,0
2011-03-01,0,0,0,0,0
2011-04-01,0,0,6,0,0
2011-05-01,0,0,0,0,0
2011-06-01,0,0,0,0,0
2011-07-01,0,0,0,0,0
2011-08-01,0,0,0,0,0
2011-09-01,0,0,0,0,0
2011-10-01,0,0,0,0,0
2011-11-01,0,0,6,0,0
2011-12-01,0,0,0,0,0
2012-01-01,0,0,0,0,0
2012-02-01,0,0,0,0,0
2012-03-01,0,0,0,0,0
2012-04-01,0,0,0,0,0
2012-05-01,0,0,0,0,0
2012-06-01,0,0,0,0,0
2012-07-01,0,0,0,0,0
2012-08-01,0,0,0,0,0
2012-09-01,0,0,0,0,0
2012-10-01,0,0,0,0,0
2012-11-01,0,0,0,0,0
2012-12-01,0,0,0,0,0
2013-01-01,0,0,0,0,0
2013-02-01,0,0,0,0,0
2013-03-01,0,0,0,0,0
2013-04-01,0,0,0,0,0
2013-05-01,0,0,0,0,0
2013-06-01,0,0,0,0,0
2013-07-01,0,0,0,0,0
2013-08-01,0,0,0,0,0
2013-09-01,0,0,0,0,0
2013-10-01,0,0,0,0,0
2013-11-01,0,0,0,0,0
2013-12-01,0,4,0,0,0
2014-01-01,0,0,0,0,0
2014-02-01,0,0,0,0,0
2014-03-01,0,0,0,0,0
2014-04-01,0,6,0,0,0
2014-05-01,0,3,0,0,0
2014-06-01,0,4,0,0,0
2014-07-01,0,6,0,0,0
2014-08-01,0,5,0,0,0
2014-09-01,0,4,0,0,0
2014-10-01,0,4,0,0,0
2014-11-01,0,6,0,0,0
2014-12-01,0,5,0,0,0
2015-01-01,0,3,4,0,0
2015-02-01,0,6,4,0,0
2015-03-01,0,5,0,0,0
2015-04-01,0,6,0,0,0
2015-05-01,3,5,5,0,0
2015-06-01,0,7,6,0,0
2015-07-01,0,5,4,0,0
2015-08-01,0,6,7,0,0
2015-09-01,0,7,4,0,0
2015-10-01,0,6,8,0,0
2015-11-01,0,6,11,0,0
2015-12-01,0,7,12,0,0
2016-01-01,0,6,14,0,0
2016-02-01,0,4,15,0,0
2016-03-01,3,6,19,0,0
2016-04-01,3,6,23,0,0
2016-05-01,4,8,26,0,0
2016-06-01,0,6,26,0,0
2016-07-01,3,6,22,0,0
2016-08-01,0,7,25,0,0
2016-09-01,0,7,27,0,0
