date,Angular,React,Vue
2020-08-23,32,56,18
2020-08-30,35,56,19
2020-09-06,33,58,18
2020-09-13,30,57,18
2020-09-20,32,55,18
2020-09-27,29,45,14
2020-10-04,30,43,14
2020-10-11,25,37,13
2020-10-18,26,35,13
2020-10-25,26,35,13
2020-11-01,25,30,11
2020-11-08,24,33,13
2020-11-15,25,38,12
2020-11-22,24,32,13
2020-11-29,26,35,12
2020-12-06,25,35,12
2020-12-13,24,35,12
2020-12-20,20,31,11
2020-12-27,17,30,9
2021-01-03,23,34,12
2021-01-10,26,36,12
2021-01-17,26,38,13
2021-01-24,26,36,13
2021-01-31,30,35,13
2021-02-07,27,41,12
2021-02-14,26,38,12
2021-02-21,27,39,12
2021-02-28,25,40,13
2021-03-07,26,40,13
2021-03-14,27,41,14
2021-03-21,27,41,13
2021-03-28,25,39,14
2021-04-04,26,41,13
2021-04-11,26,41,13
2021-04-18,26,42,14
2021-04-25,25,42,13
2021-05-02,27,38,12
2021-05-09,28,39,13
2021-05-16,27,44,15
2021-05-23,27,43,13
2021-05-30,26,42,13
2021-06-06,27,45,14
2021-06-13,28,44,14
2021-06-20,30,46,14
2021-06-27,28,45,14
2021-07-04,27,44,13
2021-07-11,27,43,14
2021-07-18,27,43,13
2021-07-25,27,41,14
2021-08-01,26,44,14
2021-08-08,25,42,13
2021-08-15,27,42,13
2021-08-22,28,41,12
2021-08-29,29,42,13
2021-09-05,26,43,14
2021-09-12,29,45,15
2021-09-19,29,42,13
2021-09-26,27,44,14
2021-10-03,28,45,12
2021-10-10,25,45,14
2021-10-17,29,45,15
2021-10-24,27,49,15
2021-10-31,24,43,14
2021-11-07,27,49,15
2021-11-14,28,50,14
2021-11-21,25,46,14
2021-11-28,28,50,15
2021-12-05,29,45,14
2021-12-12,28,44,15
2021-12-19,26,43,13
2021-12-26,20,39,11
2022-01-02,34,65,16
2022-01-09,32,68,18
2022-01-16,32,72,17
2022-01-23,33,77,20
2022-01-30,31,74,16
2022-02-06,37,80,19
2022-02-13,41,89,23
2022-02-20,37,84,20
2022-02-27,35,85,19
2022-03-06,36,89,23
2022-03-13,40,88,21
2022-03-20,39,88,19
2022-03-27,41,100,20
2022-04-03,40,94,20
2022-04-10,34,90,21
2022-04-17,38,95,21
2022-04-24,38,94,22
2022-05-01,32,85,18
2022-05-08,41,96,21
2022-05-15,35,89,20
2022-05-22,33,88,20
2022-05-29,31,83,20
2022-06-05,33,87,19
2022-06-12,34,90,21
2022-06-19,34,89,21
2022-06-26,33,89,21
2022-07-03,34,88,21
2022-07-10,32,91,21
2022-07-17,34,93,21
2022-07-24,33,91,20
2022-07-31,33,90,20
2022-08-07,31,87,19
2022-08-14,29,86,19
2022-08-21,35,89,19
2022-08-28,29,82,18
2022-09-04,31,84,18
2022-09-11,33,89,19
2022-09-18,34,91,19
2022-09-25,34,84,19
2022-10-02,28,79,17
2022-10-09,33,88,19
2022-10-16,33,88,18
2022-10-23,30,85,18
2022-10-30,30,85,18
2022-11-06,31,92,18
2022-11-13,34,91,18
2022-11-20,31,80,17
2022-11-27,29,85,17
2022-12-04,29,85,17
2022-12-11,31,86,18
2022-12-18,28,81,16
2022-12-25,23,72,13
2023-01-01,27,78,15
2023-01-08,29,87,17
2023-01-15,30,86,17
2023-01-22,32,87,16
2023-01-29,31,90,20
2023-02-05,32,92,18
2023-02-12,32,89,18
2023-02-19,33,96,18
2023-02-26,29,90,18
2023-03-05,30,81,17
2023-03-12,30,87,17
2023-03-19,29,88,17
2023-03-26,30,89,17
2023-04-02,27,79,16
2023-04-09,26,81,16
2023-04-16,27,83,16
2023-04-23,26,78,15
2023-04-30,25,73,13
2023-05-07,26,76,15
2023-05-14,27,76,15
2023-05-21,27,76,15
2023-05-28,24,72,15
2023-06-04,27,75,15
2023-06-11,26,77,15
2023-06-18,28,76,14
2023-06-25,25,77,15
2023-07-02,26,77,16
2023-07-09,29,78,17
2023-07-16,28,75,15
2023-07-23,28,79,15
2023-07-30,26,78,15
2023-08-06,27,77,15
2023-08-13,26,71,14
2023-08-20,26,75,15
2023-08-27,26,78,15
2023-09-03,25,74,14
2023-09-10,26,73,14
2023-09-17,25,72,14
2023-09-24,27,70,14
2023-10-01,25,70,12
2023-10-08,25,70,13
2023-10-15,24,71,15
2023-10-22,23,70,14
2023-10-29,24,69,14
2023-11-05,25,74,14
